label,Molecular Weight,Isoelectric point,Charge density,Charge,Instability index,Aromaticity,Aliphatic index,Boman index,Hydrophobic ratio,freq_A,freq_C,freq_D,freq_E,freq_F,freq_G,freq_H,freq_I,freq_N,freq_K,freq_L,freq_M,freq_P,freq_Q,freq_R,freq_S,freq_T,freq_V,freq_W,freq_Y
0,1599.84,3.6875,-0.00142,-2.271,80.38,0.0,78.0,1.0227,0.5333,0.0667,0.2667,0.0667,0.1333,0.0,0.0667,0.0,0.0667,0.0667,0.0,0.0667,0.0,0.0,0.0667,0.0,0.0,0.0667,0.0667,0.0,0.0
0,5854.57,11.8838,0.00087,5.094,28.6796,0.0741,67.037,1.7772,0.3704,0.1296,0.0,0.0185,0.0,0.0556,0.0556,0.0185,0.037,0.0926,0.037,0.0741,0.037,0.037,0.0926,0.0556,0.0926,0.1111,0.037,0.0,0.0185
1,1599.84,11.1055,0.0025,3.997,8.14,0.0,58.6667,3.2153,0.2667,0.1333,0.0,0.0667,0.0667,0.0,0.1333,0.0,0.0,0.0667,0.2667,0.0667,0.0,0.0,0.0,0.0667,0.0667,0.0,0.0667,0.0,0.0
1,1432.67,3.9297,-0.0007,-1.003,3.2214,0.0714,167.1429,-1.0714,0.7143,0.2857,0.0,0.0714,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0714,0.2857,0.0,0.0714
0,4971.4,4.6431,-0.00056,-2.801,100.1833,0.0208,68.9583,1.4767,0.2708,0.0417,0.0,0.0208,0.0833,0.0208,0.0208,0.0417,0.0833,0.0,0.0208,0.0208,0.0208,0.1042,0.0417,0.0,0.2708,0.125,0.0833,0.0,0.0
0,3957.61,12.7061,0.00182,7.192,55.9333,0.0833,78.6111,1.8219,0.3889,0.0833,0.0,0.0,0.0,0.0556,0.1389,0.0556,0.0,0.0556,0.0278,0.1389,0.0556,0.0278,0.0,0.1389,0.1111,0.0278,0.0556,0.0,0.0278
0,2340.84,13.8633,0.00256,5.996,22.7474,0.2105,72.1053,2.15,0.5263,0.1053,0.0,0.0,0.0,0.2105,0.0526,0.0,0.1053,0.0526,0.0526,0.0526,0.0526,0.0526,0.0,0.2105,0.0,0.0526,0.0,0.0,0.0
0,4001.61,7.8308,0.00042,1.69,20.3432,0.0811,63.2432,1.4305,0.3514,0.0,0.1622,0.0541,0.027,0.027,0.1351,0.027,0.1351,0.0,0.0541,0.027,0.0,0.027,0.027,0.0541,0.1351,0.0541,0.0,0.0,0.0541
1,9255.82,9.8435,0.00103,9.553,47.5903,0.0215,75.5914,0.798,0.4301,0.129,0.086,0.0215,0.0,0.0108,0.1075,0.0108,0.0538,0.0323,0.086,0.043,0.0215,0.0645,0.0323,0.0323,0.1398,0.0323,0.086,0.0,0.0108
0,1555.66,6.3486,-0.00045,-0.705,22.6286,0.0,69.2857,2.0407,0.2143,0.0,0.0,0.0,0.1429,0.0,0.0714,0.2143,0.0,0.0,0.0,0.0714,0.0,0.0714,0.0714,0.0,0.1429,0.0714,0.1429,0.0,0.0
1,1668.17,13.1406,0.00299,4.995,32.3308,0.3077,120.0,-0.7231,0.6154,0.0,0.0,0.0,0.0,0.3077,0.0,0.0,0.0,0.0,0.3077,0.3077,0.0,0.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0
